City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kavieng,PG,82.42,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
1,Whitehorse,CA,84.02,scattered clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
3,Rikitea,PF,76.19,clear sky,-23.1203,-134.9692,People ThankYou
4,Lorengau,PG,81.73,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
6,Jamestown,US,78.03,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
7,Itarema,BR,77.27,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
12,Atuona,PF,77.4,scattered clouds,-9.8,-139.0333,Villa Enata
17,Maumere,ID,76.12,broken clouds,-8.6199,122.2111,Sylvia Hotel
19,Cayenne,GF,80.64,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
22,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
23,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
27,Bac Lieu,VN,80.56,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
29,Kalmunai,LK,81.32,overcast clouds,7.4167,81.8167,VS Villa
30,Sairang,IN,75.74,overcast clouds,23.8,92.6667,Remmie
33,Port-Gentil,GA,75.16,overcast clouds,-0.7193,8.7815,Fengshui Residence
36,Sabang,ID,83.21,overcast clouds,5.8933,95.3214,Hotel Citra
41,Thompson,CA,77.18,few clouds,55.7435,-97.8558,Burntwood Hotel
42,Tambopata,PE,85.89,clear sky,-12.7333,-69.1833,Enashawa Lodge
44,Los Altos,US,82.22,broken clouds,37.3852,-122.1141,Residence Inn by Marriott Palo Alto Mountain View
47,Felipe Carrillo Puerto,MX,88.3,broken clouds,19.5833,-88.05,Hotel La Ceiba
51,Arenys De Mar,ES,80.02,overcast clouds,41.5819,2.5494,Hotel Mitus
52,Isangel,VU,78.53,broken clouds,-19.55,169.2667,Tanna Lodge
58,Ternate,ID,78.44,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
60,Ligayan,PH,83.41,overcast clouds,4.6533,119.4706,
62,Polonnaruwa,LK,79.81,overcast clouds,7.9333,81.0,Thisara Guest House
63,Cedar City,US,86.97,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
65,Buraydah,SA,86.72,scattered clouds,26.326,43.975,Mövenpick Qassim
66,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
68,Aripuana,BR,80.87,clear sky,-9.1667,-60.6333,
74,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
75,Inirida,CO,79.7,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
79,Hithadhoo,MV,82.71,few clouds,-0.6,73.0833,Scoop Guest House
80,Bethel,US,75.76,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
81,Namatanai,PG,81.48,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
88,Moroni,KM,75.42,clear sky,-11.7022,43.2551,Hotel Les Arcades
89,Tecoanapa,MX,84.45,overcast clouds,16.5167,-98.75,Hotel Manglares
90,Aloleng,PH,80.19,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
92,Dingle,PH,76.33,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
93,Salalah,OM,80.69,drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
94,Shasta Lake,US,82.54,broken clouds,40.6804,-122.3708,Shasta Dam Motel
98,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Pousada Camboinha
100,Samarai,PG,81.91,broken clouds,-10.6167,150.6667,Nuli Sapi
109,Bengkulu,ID,75.88,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
110,Butaritari,KI,82.69,light rain,3.0707,172.7902,Isles Sunset Lodge
112,Hilo,US,88.29,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
113,Poso,ID,75.6,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
114,Qui Nhon,VN,80.76,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
115,Paciran,ID,77.2,light rain,-6.8767,112.3761,Tanjung Kodok Beach Resort
124,Touros,BR,75.83,clear sky,-5.1989,-35.4608,INN NEW HORIZON
125,Kapaa,US,87.78,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
136,Bubaque,GW,80.11,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
137,Kokoda,PG,78.06,overcast clouds,-8.8785,147.7407,Daito Guest House
145,Sinnamary,GF,78.48,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
148,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
149,Mnogovershinnyy,RU,77.02,clear sky,53.9353,139.9242,Obshchezhitiye 14
151,Chigorodo,CO,79.14,overcast clouds,7.6664,-76.6811,Hotel Las Guaduas Del Darien
152,Palu,ID,75.47,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
153,Alamogordo,US,88.95,clear sky,32.8995,-105.9603,Fairfield Inn & Suites by Marriott Alamogordo
156,Hirara,JP,80.87,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
158,Hasaki,JP,75.6,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
163,Forestville,US,89.62,clear sky,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
164,Santa Isabel Do Rio Negro,BR,80.47,broken clouds,-0.4139,-65.0192,Hotel GSA
169,Ardakan,IR,79.38,clear sky,32.31,54.0175,Ardakan Hotel
170,Gadung,PH,77.99,scattered clouds,6.8025,124.02,
171,Tangping,CN,78.26,heavy intensity rain,22.0265,111.9323,
175,Tagusao,PH,79.57,overcast clouds,9.1924,117.8141,Caycay future beach resort
180,Nioro,GM,81.46,overcast clouds,13.35,-15.75,
187,Ixtapa,MX,85.23,overcast clouds,20.7,-105.2,hotel la terminal
190,Cockburn Town,TC,81.55,clear sky,21.4612,-71.1419,Osprey Beach Hotel
192,Vao,NC,75.09,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
194,Zaragoza,ES,79.02,clear sky,41.6561,-0.8773,INNSiDE Zaragoza
196,Araguacu,BR,76.93,clear sky,-12.9306,-49.8264,Hotel Tocantins
209,Ahuimanu,US,83.91,light rain,21.4447,-157.8378,Paradise Bay Resort
213,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
215,Espanola,US,89.51,scattered clouds,35.9911,-106.0806,Santa Claran Hotel Casino
217,Sun Prairie,US,89.47,scattered clouds,43.1836,-89.2137,Super 8 by Wyndham Sun Prairie/Madison E
218,Sao Felix Do Xingu,BR,81.75,broken clouds,-6.6447,-51.995,Rio Xingu Camping
219,Akdepe,TM,77.13,clear sky,42.0551,59.3788,
226,Wanning,CN,80.94,overcast clouds,18.8003,110.3967,Paradise Hotel
227,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
229,Qiongshan,CN,80.96,moderate rain,20.0058,110.3542,Sun City Restaurant
233,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
239,Hami,CN,79.65,clear sky,42.8,93.45,Laoyutang Resort
253,Hamilton,US,89.2,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
257,Half Moon Bay,US,83.88,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
261,Barentu,ER,78.53,clear sky,15.1139,37.5928,
262,Arraial Do Cabo,BR,75.06,clear sky,-22.9661,-42.0278,Pousada Porto Praia
263,Zhuhai,CN,83.98,moderate rain,22.2769,113.5678,珠海粤财假日酒店
266,Mambajao,PH,80.11,overcast clouds,9.2504,124.7156,SomeWhere Else boutique resort
267,Ibra,OM,88.23,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
271,Dawlatabad,AF,75.11,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
276,Sakakah,SA,84.81,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
277,San Miguel,SV,85.23,broken clouds,13.4833,-88.1833,Excalibur
280,Mushie,CD,76.48,clear sky,-3.0167,16.9,
281,Fare,PF,80.11,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
282,Inuvik,CA,80.98,scattered clouds,68.3499,-133.7218,Nova Inn Inuvik
283,Lixourion,GR,82.4,clear sky,38.2019,20.4314,Hotel Summery
284,Sola,VU,80.8,scattered clouds,-13.8833,167.55,Leumerus Bungalows
288,Nishihara,JP,82.06,scattered clouds,26.1842,127.7558,Minshuku Agaihama
294,Katra,IN,78.19,broken clouds,32.9833,74.95,KC Residency Katra (4 Star) Experience the Luxuries of a 5 Star
296,Baherden,TM,75.7,clear sky,38.4362,57.4316,
297,Zevio,IT,79.25,few clouds,45.3721,11.1293,Tenuta Albertini snc
303,Ciudad Bolivar,VE,85.33,overcast clouds,8.1222,-63.5497,Hotel Edi
