City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kavieng,PG,-2.5744,150.7967,82.42,81,99,14.67,overcast clouds
1,Whitehorse,CA,60.7161,-135.0538,84.02,31,48,5.99,scattered clouds
2,Atar,MR,20.5169,-13.0499,99.55,16,98,3.42,overcast clouds
3,Rikitea,PF,-23.1203,-134.9692,76.19,73,5,18.23,clear sky
4,Lorengau,PG,-2.0226,147.2712,81.73,78,100,6.17,heavy intensity rain
5,Busselton,AU,-33.65,115.3333,50.5,66,76,9.13,broken clouds
6,Jamestown,US,42.097,-79.2353,78.03,81,100,10.36,overcast clouds
7,Itarema,BR,-2.9248,-39.9167,77.27,69,99,8.46,overcast clouds
8,Ushuaia,AR,-54.8,-68.3,25.29,94,96,1.54,overcast clouds
9,Punta Arenas,CL,-53.15,-70.9167,32.25,84,100,1.83,overcast clouds
10,Mataura,NZ,-46.1927,168.8643,47.48,81,94,5.86,overcast clouds
11,Laguna,US,38.421,-121.4238,90.34,44,0,16.11,clear sky
12,Atuona,PF,-9.8,-139.0333,77.4,73,28,27.74,scattered clouds
13,Tuktoyaktuk,CA,69.4541,-133.0374,60.8,94,100,0.0,thunderstorm with light rain
14,Albany,US,42.6001,-73.9662,70.52,92,100,1.01,light rain
15,Nikolskoye,RU,59.7035,30.7861,62.49,90,34,4.68,scattered clouds
16,Chokurdakh,RU,70.6333,147.9167,46.98,52,82,12.26,broken clouds
17,Maumere,ID,-8.6199,122.2111,76.12,69,75,13.0,broken clouds
18,Barra Do Garcas,BR,-15.89,-52.2567,72.41,32,0,3.09,clear sky
19,Cayenne,GF,4.9333,-52.3333,80.64,1,0,4.61,clear sky
20,Tessalit,ML,20.1986,1.0114,97.68,9,50,6.17,scattered clouds
21,Canaries,ES,28.0,-15.5,64.4,68,75,21.85,broken clouds
22,Vaini,TO,-21.2,-175.2,77.16,65,40,8.05,scattered clouds
23,Puerto Ayora,EC,-0.7393,-90.3518,76.96,88,79,5.99,broken clouds
24,Charters Towers,AU,-20.1,146.2667,51.21,77,0,6.35,clear sky
25,Stratford-Upon-Avon,GB,52.1917,-1.7073,59.09,70,28,4.63,scattered clouds
26,La Ronge,CA,55.1001,-105.2842,62.89,45,97,3.89,overcast clouds
27,Bac Lieu,VN,9.285,105.7244,80.56,85,98,7.47,overcast clouds
28,Capim Grosso,BR,-11.3811,-40.0128,69.4,78,59,11.74,broken clouds
29,Kalmunai,LK,7.4167,81.8167,81.32,62,100,5.21,overcast clouds
30,Sairang,IN,23.8,92.6667,75.74,99,100,2.39,overcast clouds
31,Cape Town,ZA,-33.9258,18.4232,56.37,89,0,1.14,mist
32,Hovd,MN,48.0056,91.6419,61.48,44,100,7.36,overcast clouds
33,Port-Gentil,GA,-0.7193,8.7815,75.16,83,100,8.05,overcast clouds
34,Lebu,CL,-37.6167,-73.65,51.12,90,100,13.49,overcast clouds
35,Saskylakh,RU,71.9167,114.0833,50.29,81,81,6.76,broken clouds
36,Sabang,ID,5.8933,95.3214,83.21,73,99,15.59,overcast clouds
37,Maltahohe,NA,-24.8333,16.9833,48.87,21,0,2.42,clear sky
38,Tigil,RU,57.8,158.6667,61.63,68,100,12.08,overcast clouds
39,Port Alfred,ZA,-33.5906,26.891,57.18,91,100,3.0,overcast clouds
40,Leningradskiy,RU,69.3833,178.4167,52.84,64,93,3.06,overcast clouds
41,Thompson,CA,55.7435,-97.8558,77.18,19,11,3.65,few clouds
