City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tuatapere,NZ,2022-07-03 01:36:39,-46.1333,167.6833,52.92,71,35,9.91
1,Tocopilla,CL,2022-07-03 01:36:40,-22.092,-70.1979,61.05,74,26,5.61
2,Busselton,AU,2022-07-03 01:36:41,-33.65,115.3333,55.13,62,0,9.01
3,Pevek,RU,2022-07-03 01:36:42,69.7008,170.3133,32.02,98,100,8.57
4,Bengkulu,ID,2022-07-03 01:36:42,-3.8004,102.2655,80.65,71,78,0.92
5,Xuddur,SO,2022-07-03 01:36:43,4.1213,43.8894,68.23,80,100,23.6
6,Albany,US,2022-07-03 01:36:36,42.6001,-73.9662,73.81,81,69,4.23
7,Kutum,SD,2022-07-03 01:36:44,14.2,24.6667,74.91,54,87,9.48
8,Rikitea,PF,2022-07-03 01:36:45,-23.1203,-134.9692,74.35,76,5,20.8
9,Qaanaaq,GL,2022-07-03 01:36:45,77.484,-69.3632,37.27,99,100,5.99
10,Te Anau,NZ,2022-07-03 01:36:46,-45.4167,167.7167,50.38,73,44,8.3
11,Provideniya,RU,2022-07-03 01:36:46,64.3833,-173.3,51.69,68,100,4.81
12,Cidreira,BR,2022-07-03 01:36:47,-30.1811,-50.2056,61.47,91,88,8.3
13,Jizan,SA,2022-07-03 01:36:47,17.3333,42.6667,90.54,58,66,4.92
14,Uige,AO,2022-07-03 01:36:48,-7.6087,15.0613,59.36,75,2,3.31
15,Naron,ES,2022-07-03 01:36:48,43.5167,-8.1528,64.04,82,42,13.49
16,Chokurdakh,RU,2022-07-03 01:36:49,70.6333,147.9167,66.87,32,94,8.7
17,Guerrero Negro,MX,2022-07-03 01:36:49,27.9769,-114.0611,69.73,73,0,22.55
18,Bluff,NZ,2022-07-03 01:36:50,-46.6,168.3333,54.81,74,30,29.68
19,Mataura,NZ,2022-07-03 01:36:50,-46.1927,168.8643,54.48,73,13,8.34
20,Saint-Pierre,RE,2022-07-03 01:36:50,-21.3393,55.4781,68.92,71,75,13.8
21,Zhigansk,RU,2022-07-03 01:36:51,66.7697,123.3711,69.98,47,99,14.45
22,Ushuaia,AR,2022-07-03 01:36:51,-54.8,-68.3,38.86,70,75,11.5
23,Puerto Ayora,EC,2022-07-03 01:36:52,-0.7393,-90.3518,71.55,88,39,5.99
24,Hithadhoo,MV,2022-07-03 01:36:52,-0.6,73.0833,83.95,72,100,12.91
25,Yellowknife,CA,2022-07-03 01:35:35,62.456,-114.3525,64.92,52,20,9.22
26,Conway,US,2022-07-03 01:36:53,35.0887,-92.4421,84.04,73,0,8.05
27,Astoria,US,2022-07-03 01:36:54,46.1879,-123.8313,61.93,80,100,10.36
28,Port Alfred,ZA,2022-07-03 01:36:55,-33.5906,26.891,58.17,85,5,1.99
29,San Policarpo,PH,2022-07-03 01:36:55,12.1791,125.5072,84.04,79,80,7.52
30,Isangel,VU,2022-07-03 01:36:56,-19.55,169.2667,79.3,74,95,14.32
31,Nanortalik,GL,2022-07-03 01:36:56,60.1432,-45.2371,44.91,75,100,2.28
32,Christchurch,NZ,2022-07-03 01:36:56,-43.5333,172.6333,59.47,45,3,3.44
33,Bredasdorp,ZA,2022-07-03 01:34:15,-34.5322,20.0403,51.66,76,7,9.19
34,Mount Gambier,AU,2022-07-03 01:36:57,-37.8333,140.7667,52.14,66,92,7.87
35,Narsaq,GL,2022-07-03 01:36:58,60.9167,-46.05,52.02,63,100,1.39
36,Nalut,LY,2022-07-03 01:36:58,30.3333,10.85,88.5,16,4,8.9
37,Port Macquarie,AU,2022-07-03 01:36:59,-31.4333,152.9167,66.88,65,5,6.29
38,Sola,VU,2022-07-03 01:36:59,-13.8833,167.55,81.18,76,16,23.73
39,Inta,RU,2022-07-03 01:37:00,66.0317,60.1659,48.09,66,4,12.08
40,Atuona,PF,2022-07-03 01:37:00,-9.8,-139.0333,77.7,80,3,14.61
41,Abu Dhabi,AE,2022-07-03 01:33:56,24.4667,54.3667,89.62,80,100,2.3
42,Axim,GH,2022-07-03 01:37:01,4.8699,-2.2405,75.43,84,47,6.31
43,Conakry,GN,2022-07-03 01:34:02,9.538,-13.6773,82.47,78,75,6.91
44,Behbahan,IR,2022-07-03 01:37:02,30.5959,50.2417,86.56,17,0,8.32
45,Ibotirama,BR,2022-07-03 01:37:02,-12.1853,-43.2206,73.92,51,2,10.58
46,Hobart,AU,2022-07-03 01:37:33,-42.8794,147.3294,54.27,75,20,9.22
47,Punta Arenas,CL,2022-07-03 01:34:15,-53.15,-70.9167,30.31,100,100,8.05
48,Havelock,US,2022-07-03 01:33:21,34.8791,-76.9013,79.95,88,0,9.22
49,Novoagansk,RU,2022-07-03 01:37:34,61.9449,76.6625,49.84,94,100,5.64
50,Nikolskoye,RU,2022-07-03 01:37:34,59.7035,30.7861,67.91,71,100,4.03
51,Saskylakh,RU,2022-07-03 01:37:35,71.9167,114.0833,66.31,40,2,11.88
52,Castro,BR,2022-07-03 01:37:35,-24.7911,-50.0119,55.89,78,2,4.61
53,Fort Dodge,US,2022-07-03 01:37:36,42.4975,-94.168,80.6,41,20,4.61
54,Dunedin,NZ,2022-07-03 01:37:36,-45.8742,170.5036,57.79,48,3,5.01
55,Avera,US,2022-07-03 01:37:38,33.194,-82.5271,83.55,62,100,4.79
56,Egvekinot,RU,2022-07-03 01:37:38,66.3167,-179.1667,42.08,87,100,6.85
57,Luanda,AO,2022-07-03 01:37:38,-8.8368,13.2343,67.96,90,27,5.82
58,Kapaa,US,2022-07-03 01:37:39,22.0752,-159.319,85.98,67,20,18.41
59,Omboue,GA,2022-07-03 01:37:40,-1.5746,9.2618,71.85,91,39,5.91
60,Maldonado,UY,2022-07-03 01:36:26,-34.6667,-54.9167,41.23,87,6,3.42
61,Bridlington,GB,2022-07-03 01:37:41,54.0831,-0.1919,52.9,85,3,10.58
62,Vaini,TO,2022-07-03 01:37:41,-21.2,-175.2,75.36,78,75,11.5
63,Cape Town,ZA,2022-07-03 01:37:06,-33.9258,18.4232,56.88,84,75,11.5
64,Thinadhoo,MV,2022-07-03 01:37:42,0.5333,72.9333,84.06,72,91,15.75
65,Port Elizabeth,ZA,2022-07-03 01:37:43,-33.918,25.5701,60.31,87,20,5.75
66,Yar-Sale,RU,2022-07-03 01:37:43,66.8333,70.8333,46.62,65,95,20.2
67,Taltal,CL,2022-07-03 01:37:44,-25.4,-70.4833,59.4,72,95,3.85
68,Chuy,UY,2022-07-03 01:37:44,-33.6971,-53.4616,44.31,87,48,3.15
69,Sorland,NO,2022-07-03 01:37:45,67.667,12.6934,53.46,93,100,15.17
70,New Norfolk,AU,2022-07-03 01:37:46,-42.7826,147.0587,53.92,64,98,3.0
71,Najran,SA,2022-07-03 01:37:46,17.4924,44.1277,79.45,44,100,7.52
72,Viedma,AR,2022-07-03 01:37:47,-40.8135,-62.9967,43.7,44,26,13.78
73,Coquimbo,CL,2022-07-03 01:33:08,-29.9533,-71.3436,53.33,82,0,6.91
74,Yulara,AU,2022-07-03 01:37:48,-25.2406,130.9889,52.11,40,0,17.83
75,Jamestown,US,2022-07-03 01:37:48,42.097,-79.2353,71.19,49,0,8.05
76,Veinticinco De Mayo,AR,2022-07-03 01:37:49,-35.4323,-60.1727,38.98,71,1,4.79
77,Kaeo,NZ,2022-07-03 01:37:49,-35.1,173.7833,63.32,73,6,1.66
78,Barranca,PE,2022-07-03 01:37:50,-10.75,-77.7667,61.77,82,73,6.51
79,Evensk,RU,2022-07-03 01:37:51,61.95,159.2333,53.42,87,100,8.05
80,Carnarvon,AU,2022-07-03 01:37:51,-24.8667,113.6333,63.88,36,0,19.35
81,Ancud,CL,2022-07-03 01:37:52,-41.8697,-73.8203,41.23,78,100,10.13
82,Hasaki,JP,2022-07-03 01:37:52,35.7333,140.8333,91.29,75,91,11.61
83,Kruisfontein,ZA,2022-07-03 01:37:53,-34.0033,24.7314,54.88,90,82,3.51
84,Rocha,UY,2022-07-03 01:37:53,-34.4833,-54.3333,40.23,93,0,5.44
85,Torbay,CA,2022-07-03 01:37:54,47.6666,-52.7314,63.37,83,75,11.5
86,Fortuna Foothills,US,2022-07-03 01:37:55,32.6578,-114.4119,105.85,15,0,14.97
87,Bocas Del Toro,PA,2022-07-03 01:37:55,9.3333,-82.25,80.65,80,100,1.45
88,Mau,IN,2022-07-03 01:38:25,25.95,83.55,90.68,59,73,8.59
89,Emirdag,TR,2022-07-03 01:38:26,39.0197,31.15,60.21,73,0,3.33
90,Mehamn,NO,2022-07-03 01:38:27,71.0357,27.8492,75.11,68,11,11.5
91,Butaritari,KI,2022-07-03 01:38:27,3.0707,172.7902,83.46,75,43,19.71
92,Dali,CN,2022-07-03 01:38:28,25.7,100.1833,67.17,84,94,0.67
93,Hun,LY,2022-07-03 01:38:28,29.1268,15.9477,82.27,24,1,4.03
94,Saint George,US,2022-07-03 01:34:10,37.1041,-113.5841,102.79,10,0,19.57
95,Agadez,NE,2022-07-03 01:38:30,19.75,10.25,86.59,11,10,6.24
96,Vysokogornyy,RU,2022-07-03 01:38:31,50.1167,139.15,80.15,49,100,2.77
97,Yubari,JP,2022-07-03 01:38:31,43.0378,141.9578,84.33,62,100,4.23
98,Veraval,IN,2022-07-03 01:38:32,20.9,70.3667,82.85,83,96,14.9
99,Luderitz,NA,2022-07-03 01:38:32,-26.6481,15.1594,56.61,83,0,6.33
100,Severo-Kurilsk,RU,2022-07-03 01:38:33,50.6789,156.125,52.63,87,56,12.62
101,Sulina,RO,2022-07-03 01:38:33,45.1559,29.6536,68.76,65,1,2.39
102,Baykit,RU,2022-07-03 01:38:34,61.67,96.37,66.74,54,94,6.13
103,Makakilo City,US,2022-07-03 01:38:34,21.3469,-158.0858,84.52,56,40,21.85
104,Tuktoyaktuk,CA,2022-07-03 01:38:35,69.4541,-133.0374,58.48,62,6,8.25
105,Quelimane,MZ,2022-07-03 01:38:36,-17.8786,36.8883,63.18,94,0,0.94
106,Kargasok,RU,2022-07-03 01:38:36,59.0556,80.8572,53.51,92,100,8.72
107,Businga,CD,2022-07-03 01:38:37,3.3333,20.8833,67.57,99,38,1.12
108,Iquique,CL,2022-07-03 01:38:38,-20.2208,-70.1431,59.04,78,63,0.83
